Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
11,26-27,Male,70-79,Electrical ,Na,Na,2014,more than 3,Unmarried,,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Technical/programming Skills,PLC & advanced programming languages ,No,Yes,,Stable & assured progression ,Working,Job,Senior Operations officer ,Petroleum & natural gas ,Government,3,Office Work,2,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,No,,,,,,,,,,90-100,90-100,90-100,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,10,9,9,9,9,"Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems;Repairing, refinishing;Using equipment",Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,"Composing music;Playing instruments;Designing;Writing poetry, stories;Reading;Being Emotional;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
12,Below 23,Male,60-69,Chemical engineering,,No,2018,more than 3,Unmarried,,Disagree,Agree,Disagree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,2,Technical/programming Skills;Practical Applications,"Soft skills, personal behavior skills",No,Yes,,I like my work and atmosphere where i am working ,Working,Job,Asistant Engibeer,Chemical,Government,2,Field Work,1,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,6,10,10,8,6,Fixing things;Solving problems;Using equipment,Solving abstract problems;Learning new facts;Developing knowledge,Reading,Working in groups;Supporting others;Building relationships;Listening to people,Asserting ideas;Taking risks;Negotiating,Keeping records;Writing reports;Attention to detail;Performing calculations
13,26-27,Female,60-69,Electrical,No,Autocad course 2D & 3D,2014,3,Unmarried,,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,None,Practical Applications,Yes,No,Yes,,I love my work as it is totally in my field.,Working,Job,Senior Electrical designer,Substation Design engineering ,Private,5,Office Work,0,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Agree,Strongly Agree,Disagree,Agree,8,5,10,7,7,"Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Learning new facts;Exploring theories;Detailed activities;Developing knowledge,Decorating;Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Communication;Encouraging;Teaching, instructing",Chairing committees;Asserting ideas;Taking risks,Using computer software;Creating efficiency;Performing calculations;Following the rules
14,26-28,Male,80-89,Bachelor in Engineering ,NA,NA,2014,more than 3,Married,Fashion Designer ,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,Interactive Session,NO,No,No,Going for business pursepation,,Working,Job,Junior engineer ,Power sector,Government,4,Field Work,2,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,No,,,,,,,,,,90-100,90-100,90-100,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,9,8,10,10,9,"Constructing, building;Solving problems",Learning new facts,Composing music;Playing instruments,Working in groups,Debating ideas;Negotiating,Using computer software;Following the rules
15,23-25,Male,60-69,Electrical,NA,No,2018,more than 3,Unmarried,,Disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,Communication,No,No,Na,,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,
16,23-25,Male,60-69,Electrical,NA,No,2018,more than 3,Unmarried,,Disagree,Neutral,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,more than 3,Soft skills;Technical/programming Skills;Practical Applications,Communication,No,No,Na,,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,,,,,,,,,,,,,,,,,,,
17,26-28,Male,50-59,Electrical,,No,2014,more than 3,Unmarried,,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,2,Technical/programming Skills,No,No,Yes,,I am happy with it.,Working,Job,Project manager,Sales,Private,5,Field Work,2,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,10,7,10,10,9,"Fixing things;Constructing, building;Action-oriented activities;Solving problems",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Developing knowledge;Designing systems,Composing music;Designing;Reading;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Taking risks;Being an entrepreneur",Keeping records;Writing reports;Using computer software;Performing calculations
18,23-25,Male,60-69,Electrical ,,PLC and 3phase IM,2018,more than 3,Unmarried,,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,None,Soft skills;Interactive Session,Communication and presentations ,,No,I have option of M tech or PSU,,Working,Job,Executive in manufacturing ,GIS manufacturing ,Private,1,Field Work,0,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Yes,,,,,,,,,,80-89,90-100,80-89,Strongly Agree,Agree,Agree,Disagree,Agree,9,6,8,7,2,Making things work;Solving problems,Analyzing information;Learning new facts;Exploring theories;Designing systems,Decorating;Playing instruments;Designing;Being Emotional,"Supporting others;Building relationships;Listening to people;Teaching, instructing;Coaching, training",Competing;Taking risks;Being an entrepreneur,"Making charts, graphs;Using computer software;Conducting analyses;Performing calculations"
19,23-25,Male,60-69,Electrical ,,PLC and 3phase IM,2018,more than 3,Unmarried,,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,None,Soft skills;Interactive Session,Communication and presentations ,,No,I have option of M tech or PSU,,Working,Job,Executive in manufacturing ,GIS manufacturing ,Private,1,Field Work,0,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Yes,,,,,,,,,,80-89,90-100,80-89,Strongly Agree,Agree,Agree,Disagree,Agree,9,6,8,7,2,Making things work;Solving problems,Analyzing information;Learning new facts;Exploring theories;Designing systems,Decorating;Playing instruments;Designing;Being Emotional,"Supporting others;Building relationships;Listening to people;Teaching, instructing;Coaching, training",Competing;Taking risks;Being an entrepreneur,"Making charts, graphs;Using computer software;Conducting analyses;Performing calculations"
20,above 28,Male,60-69,Electrical,,No,2014,more than 3,Unmarried,,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,None,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,People management Public speaking relationship management for stakeholder,No,Yes,,It is aligned with my career goal,Working,Job,Sr Engineer,Textile,Private,4,Office Work,more than 3,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Yes,,,,,,,,,,60-69,60-69,60-69,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,7,7,7,7,6,Making things work;Solving problems,Solving abstract problems;Analyzing information;Learning new facts;Collecting data;Developing knowledge;Designing systems,Playing instruments;Reading;Being expressive;Being brave and daring,Working in groups;Building relationships;Communication;Listening to people;Collaborating,Speaking in public;Being an entrepreneur;Negotiating,"Making charts, graphs;Writing reports;Attention to detail;Using computer software;Creating efficiency"
21,Below 23,Female,70-79,Science,Mathematics,Pursuing B.ed,2017,1,Unmarried,,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Don't know,,Yes,,I think i can do well in my subject,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,,,,,,,,,,,,,,,,,,,
22,26-28,Male,70-79,Electrical Engineering,NA,NA,2014,2,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,2,Soft skills,Communication skills,No,Yes,,NA,Working,Job,Design Engineer,Electrical sector,Private,5,Office Work,0,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Agree,Agree,Agree,Agree,10,6,10,4,9,Making things work;Action-oriented activities;Solving problems,Analyzing information;Learning new facts;Collecting data;Developing knowledge;Designing systems,Designing;Reading,Supporting others;Building relationships;Listening to people;Collaborating;Encouraging,"Persuading, influential;Asserting ideas;Being an entrepreneur;Negotiating",Keeping records;Writing reports;Attention to detail;Conducting analyses
23,26-28,Male,80-89,Electrical,Electrical,Radiation safety,2016,more than 3,Married,Housewife,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,2,Technical/programming Skills,"Control programming, Artificial intelligence",No,No,Wanna be manufacturer of machine which i am operating,,Working,Job,Sr. Engineer,Production,Private,5,Field Work,more than 3,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Yes,,,,,,,,,,90-100,90-100,80-89,Agree,Agree,Neutral,Disagree,Agree,8,6,7,8,9,Fixing things;Making things work;Action-oriented activities;Solving problems;Using equipment,Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge;Designing systems,Reading;Being expressive,Working in groups;Supporting others;Building relationships;Communication;Listening to people,Debating ideas;Asserting ideas,Keeping records;Writing reports;Using computer software;Following the rules
24,23-25,Female,60-69,Chemical engineering ,Polymer Technology ,No,2018,3,Unmarried,,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,2,Soft skills;Technical/programming Skills;Practical Applications,Personality Development ,No,No,Want to change for a more better self development and experience ,,Working,Job,Project Co-ordinator ,Chemical ,Private,2,Office Work,0,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,No,,,,,,,,,,70-79,70-79,70-79,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,8,8,10,10,7,"Producing tangible results;Constructing, building;Solving problems;Using equipment",Solving abstract problems;Conducting research;Learning new facts;Collecting data,Designing;Being brave and daring,Working in groups;Listening to people,Debating ideas,"Keeping records;Making charts, graphs;Writing reports;Creating efficiency;Performing calculations"
25,Below 23,Female,60-69,Chemistry,Chemistry,No,2018,2,Unmarried,,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,None,Interactive Session,Yes,No,No,I need always better,,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
